Start (of zoals de Russen zeggen 'начало'): 2013-11-20 21:29:17.597102
Loaded 161 entries
End: 2013-11-20 21:29:26.056390
Run: 0:00:08.459288
         6306369 function calls (6305292 primitive calls) in 8.500 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/7    0.000    0.000    0.004    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:458(parse_sub)
     10/7    0.000    0.000    0.004    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:468(parse_concat)
     10/7    0.000    0.000    0.004    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:478(parse_mul)
     10/7    0.000    0.000    0.004    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:488(parse_div)
     10/7    0.000    0.000    0.004    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:498(parse_floordiv)
     10/7    0.000    0.000    0.004    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:508(parse_mod)
     10/7    0.000    0.000    0.004    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:518(parse_pow)
     10/7    0.000    0.000    0.004    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:528(parse_unary)
      8/6    0.000    0.000    0.004    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:389(parse_condexpr)
   124/17    0.001    0.000    0.004    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/visitor.py:41(generic_visit)
       12    0.000    0.000    0.004    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_compile.py:474(_code)
13622/13581    0.004    0.000    0.004    0.000 {built-in method len}
       20    0.000    0.000    0.004    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/lexer.py:360(expect)
      208    0.003    0.000    0.003    0.000 {built-in method mktime}
   209/19    0.001    0.000    0.003    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:184(find_all)
     10/7    0.000    0.000    0.003    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:660(parse_postfix)
        5    0.000    0.000    0.003    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:688(parse_subscript)
      256    0.003    0.000    0.003    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      130    0.000    0.000    0.003    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.003    0.003 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:954(render)
       78    0.001    0.000    0.003    0.000 <template>:5(root)
        1    0.000    0.000    0.002    0.002 /home/bram/program/hoehetis.nl/src/entries.py:47(close)
      208    0.002    0.000    0.002    0.000 {built-in method fromtimestamp}
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1556(_find_and_load)
    83/12    0.001    0.000    0.002    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_compile.py:33(_compile)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1506(_find_and_load_unlocked)
        5    0.000    0.000    0.002    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:88(find_undeclared)
        1    0.000    0.000    0.002    0.002 /home/bram/program/hoehetis.nl/src/entries.py:40(open)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.3/json/__init__.py:123(dump)
     1253    0.002    0.000    0.002    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:148(iter_fields)
        1    0.002    0.002    0.002    0.002 {built-in method dump}
        1    0.002    0.002    0.002    0.002 {built-in method load}
      941    0.001    0.000    0.002    0.000 /home/bram/program/hoehetis.nl/src/gen.py:59(wordsOfTitles)
        1    0.000    0.000    0.002    0.002 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/optimizer.py:23(optimize)
     10/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:581(_check_name_wrapper)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1018(load_module)
     39/1    0.000    0.000    0.002    0.002 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/visitor.py:58(generic_visit)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:996(load_module)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:536(module_for_loader_wrapper)
       12    0.000    0.000    0.002    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_compile.py:365(_compile_info)
      3/2    0.000    0.000    0.002    0.001 {built-in method exec}
       16    0.000    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.001    0.001 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/encodings/__init__.py:69(search_function)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:849(_load_module)
      304    0.001    0.000    0.001    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:185(__next)
        1    0.000    0.000    0.001    0.001 {built-in method __import__}
